"Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"48","E.C. Coleman","PF","24","NOJ","77","2176","10.8",".485",".292","8.4","17.1","12.6","6.7","1.7","0.9","0.5","2.1","2.6",".057","-2.2","0.0","-2.2","-0.1"
"49","Doug Collins","SG","23","PHI","81","2820","16.4",".549",".341","3.7","7.7","5.7","11.8","1.8","0.3","5.7","2.0","7.7",".131","0.4","0.0","0.5","1.8"
"50","Mel Counts","C","33","NOJ","75","1421","14.8",".477",".228","7.0","24.7","15.5","18.7","1.5","1.6","0.2","1.8","2.0",".069","-0.9","1.1","0.2","0.8"
"51","Dave Cowens*","C","26","BOS","65","2632","19.3",".509",".204","8.7","27.3","18.1","16.3","1.5","1.4","4.3","5.2","9.5",".173","2.2","1.5","3.8","3.9"
"52","Billy Cunningham*","SF","31","PHI","80","2859","19.2",".483",".312","4.6","21.3","12.9","24.7","1.5","0.6","2.7","3.5","6.1",".103","1.9","0.4","2.2","3.1"
"53","Dick Cunningham","C","28","MIL","2","8","4.6","0.0","25.3","13.1","14.4","0.0","0.0","0.0","0.0","0.0",".092","-4.5","0.1","-4.4","0.0"
"54","Mike D'Antoni","SG","23","KCO","67","759","10.8",".440",".208","1.8","8.7","5.3","19.2","4.1","0.8","-0.4","1.2","0.8",".049","-3.7","3.3","-0.5","0.3"
"55","Bob Dandridge*","SF","27","MIL","80","3031","16.7",".506",".179","5.1","13.6","9.5","12.5","1.9","0.8","3.8","3.2","7.0",".111","0.6","0.0","0.6","2.0"
"56","Jesse Dark","SG","23","NYK","47","401","11.0",".487",".255","3.8","5.8","4.8","11.2","0.3","0.1","0.2","0.1","0.3",".034","-1.7","-2.0","-3.7","-0.2"
"57","Dwight Davis","PF","25","CLE","78","1964","13.6",".495",".368","5.8","19.3","12.5","10.8","1.1","1.1","1.1","2.3","3.3",".082","-1.5","0.1","-1.3","0.3"
"58","Jim Davis","C","33","DET","79","1078","14.5",".515",".450","9.9","19.1","14.5","11.5","2.2","1.8","1.1","1.3","2.3",".104","-0.2","1.0","0.8","0.8"
"59","Mel Davis","PF","24","NYK","62","903","12.6",".418",".177","8.0","29.5","18.6","8.8","0.8","0.5","-0.7","1.1","0.4",".024","-2.0","-1.2","-3.2","-0.3"
"60","Mickey Davis","SF","24","MIL","75","1077","14.4",".530",".242","6.8","15.9","11.5","10.3","1.3","0.2","1.6","1.0","2.6",".116","0.2","-0.3","-0.2","0.5"
"61","Rod Derline","SG","22","SEA","58","666","12.2",".458",".169","1.8","7.3","4.5","10.2","1.6","0.3","0.1","0.4","0.5",".033","-1.7","-1.4","-3.1","-0.2"
"62","Derrek Dickey","PF","23","GSW","80","1859","13.1",".501",".174","9.9","19.0","14.4","8.5","1.2","0.5","2.0","1.8","3.8",".098","-0.2","-0.8","-1.1","0.4"
"63","Ernie DiGregorio","PG","24","BUF","31","712","12.3",".475",".192","0.9","5.4","3.2","28.1","1.2","0.0","0.3","0.3","0.6",".039","-1.5","-1.8","-3.3","-0.2"
"64","Steve Downing","C","24","BOS","3","9","-6.5",".000","1.000","0.0","21.9","11.0","0.0","0.0","0.0","-0.1","0.0","-0.1","-0.387","-4.9","-0.3","-5.1","0.0"
"65","John Drew","PF","20","ATL","78","2289","21.4",".491",".442","14.4","21.7","17.8","9.5","2.3","0.9","4.2","3.0","7.1",".149","2.4","-0.9","1.5","2.0"
"66","Terry Driscoll","PF","27","MIL","11","52","5.3",".252",".154","14.5","17.5","16.1","7.1","0.9","0.0","-0.1","0.0","-0.1","-0.068","-4.4","-0.6","-5.0","-0.1"
"67","Charles Dudley","PG","24","GSW","67","756","14.8",".528",".447","7.8","10.9","9.4","16.9","2.4","0.1","0.9","0.7","1.6",".104","-0.4","0.2","-0.2","0.3"
"68","Ken Durrett","SF","26","TOT","48","445","10.1",".437",".313","8.0","15.5","11.7","6.0","0.9","1.0","-0.3","0.4","0.1",".013","-3.9","-0.8","-4.7","-0.3"
"68","Ken Durrett","SF","26","KCO","21","175","11.2",".432",".256","8.3","15.4","11.9","7.1","1.3","1.2","-0.2","0.2","0.0",".010","-3.8","-0.8","-4.5","-0.1"
"68","Ken Durrett","SF","26","PHI","27","270","9.4",".441",".364","7.8","15.5","11.6","5.2","0.7","0.8","-0.1","0.2","0.1",".015","-3.9","-0.8","-4.8","-0.2"
"69","Dennis DuVal","PG","22","WSB","37","137","13.1",".411",".277","5.9","11.0","8.4","14.1","5.3","0.8","-0.2","0.4","0.1",".038","-5.2","2.2","-3.0","0.0"
"70","Al Eberhard","SF","22","DET","34","277","9.4",".419",".247","7.2","11.4","9.3","8.0","2.2","0.2","-0.2","0.2","0.0",".006","-3.3","-0.5","-3.8","-0.1"
"71","Leroy Ellis","PF","34","PHI","82","2183","12.3",".485",".159","9.0","18.1","13.5","7.6","0.9","1.3","2.1","2.2","4.3",".094","-0.2","0.0","-0.2","1.0"
"72","Keith Erickson","SF","30","PHO","49","1469","13.9",".483",".280","4.8","12.3","8.5","16.7","1.6","0.4","1.2","1.2","2.4",".078","-0.6","-0.2","-0.9","0.4"
"73","Hank Finkel","C","32","BOS","62","518","7.5",".429",".333","6.4","15.0","10.8","7.7","0.6","0.3","-0.2","0.6","0.4",".038","-3.7","-0.1","-3.8","-0.2"
"74","Chris Ford","SG","26","DET","80","1962","12.0",".498",".218","5.3","9.8","7.5","16.1","2.8","0.7","1.2","1.7","2.8",".069","-1.1","1.3","0.3","1.1"
"75","Fred Foster","SF","28","CLE","73","1136","11.5",".446",".186","5.2","5.1","5.1","13.6","0.9","0.1","0.0","0.4","0.4",".017","-2.0","-2.0","-4.0","-0.6"
"76","Jim Fox","C","31","SEA","75","1766","14.7",".534",".393","7.4","21.1","14.2","10.6","1.2","0.5","2.6","2.0","4.6",".124","0.2","-0.2","0.0","0.9"
"77","Walt Frazier*","PG","29","NYK","78","3204","19.9",".534",".288","2.9","12.4","7.6","23.1","2.8","0.2","7.2","3.5","10.8",".161","2.7","1.0","3.8","4.7"
"78","Bernie Fryer","SG","25","NOJ","31","432","11.0",".508",".406","3.6","7.2","5.3","16.5","2.2","0.0","0.1","0.3","0.4",".048","-3.0","0.4","-2.5","-0.1"
